day,orders,gross_sales,discounts,returns,net_sales,shipping,duties,additional_fees,taxes,total_sales
2023-07-08,7,254.280,-14.460,-53.240,186.580,58.650,0.000,0.000,0.000,245.230
2023-07-09,3,87.470,-8.720,0.000,78.750,18.750,0.000,0.000,0.000,97.500
2023-07-10,6,208.940,-24.920,0.000,184.020,40.400,0.000,0.000,0.000,224.420
2023-07-11,7,573.350,-58.470,0.000,514.880,94.500,0.000,0.000,0.000,609.380
2023-07-12,6,208.940,-20.840,0.000,188.100,41.750,0.000,0.000,0.000,229.850
2023-07-13,4,127.960,-12.760,0.000,115.200,27.500,0.000,0.000,0.000,142.700
2023-07-14,3,104.470,-12.460,0.000,92.010,19.700,0.000,0.000,4.020,115.730
2023-07-15,2,161.960,-16.180,0.000,145.780,40.250,0.000,0.000,0.000,186.030
2023-07-16,5,185.450,-16.160,-105.660,63.630,15.250,0.000,0.000,0.000,78.880
2023-07-17,2,59.930,-2.340,0.000,57.590,14.000,0.000,0.000,0.000,71.590
2023-07-18,4,140.910,-10.420,0.000,130.490,29.250,0.000,0.000,0.000,159.740
2023-07-19,1,23.490,-2.340,-21.150,0.000,-1.000,0.000,0.000,0.000,-1.000
2023-07-20,19,693.350,-10.420,0.000,682.930,142.950,0.000,0.000,0.000,825.880
2023-07-21,5,217.840,-14.470,0.000,203.370,41.950,0.000,0.000,0.000,245.320
2023-07-22,2,72.880,0.000,0.000,72.880,15.000,0.000,0.000,0.000,87.880
2023-07-23,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-07-24,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
2023-07-25,3,104.470,-10.420,0.000,94.050,19.000,0.000,0.000,0.000,113.050
2023-07-26,9,352.350,-18.510,-43.190,290.650,87.750,0.000,0.000,0.000,378.400
2023-07-27,2,76.930,-4.040,0.000,72.890,15.250,0.000,0.000,0.000,88.140
2023-07-28,2,80.980,-8.080,0.000,72.900,14.500,0.000,0.000,0.000,87.400
2023-07-29,3,113.370,-4.040,0.000,109.330,22.000,0.000,0.000,4.210,135.540
2023-07-30,2,63.980,-6.380,0.000,57.600,14.250,0.000,0.000,0.000,71.850
2023-07-31,5,233.230,-8.720,0.000,224.510,47.250,0.000,0.000,0.000,271.760
2023-08-01,4,177.350,-10.430,0.000,166.920,35.250,0.000,0.000,0.000,202.170
